experiment_name,family,policy_set,architecture,role,bits,merkle_depth,composition_id,comparison_group,binding_mode,circuit_file,proving_system,source_fingerprint,build_dir,compile_cached,setup_cached,compile_time_s,setup_time_s,constraints,wires,public_inputs,private_inputs,outputs,r1cs_size_bytes,wasm_size_bytes,proving_key_size_bytes,verification_key_size_bytes
account_policy_core_16,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,16,,account_core_b16,baseline,shared_witness,account_policy_core_16.circom,groth16,74036a211c68a220028b180b245ce0225398180146d53611691a6e97a19b3160,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/account_policy_core_16_74036a211c68,False,False,0.08298494600012418,0.9194146310001088,186,179,1,6,0,28976,44850,96785,2928
account_policy_core_32,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,32,,account_core_b32,baseline,shared_witness,account_policy_core_32.circom,groth16,922ff7eaf71ee6625af298e4ad029ee311b6a81c65ccc536af9c9711f0cf4af3,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/account_policy_core_32_922ff7eaf71e,False,False,0.0769382040000437,0.909456481999996,346,339,1,6,0,55216,45494,185489,2925
account_policy_core_64,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,64,,account_core_b64,baseline,shared_witness,account_policy_core_64.circom,groth16,24de29502112e37f24e13dce94930e641978a7508f42fce01598bbd51b7be313,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/account_policy_core_64_24de29502112,False,False,0.08441278500004046,1.060837490999802,666,659,1,6,0,107696,46793,362897,2926
account_policy_with_privacy_budget_16,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,16,,account_budget_b16,baseline,shared_witness,account_policy_with_privacy_budget_16.circom,groth16,eef332ba3d2633caa499152f2f4d814caf9f9964102f2d4df173cc92849c5ad0,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/account_policy_with_privacy_budget_16_eef332ba3d26,False,False,0.07564565500001663,0.8958059670001148,261,251,2,7,0,40640,45775,145112,3107
account_policy_with_privacy_budget_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,32,,account_budget_b32,baseline,shared_witness,account_policy_with_privacy_budget_32.circom,groth16,b343b43dacdda7934f8c1b3731507b3ce701b28a4e614445f0098792570313de,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/account_policy_with_privacy_budget_32_b343b43dacdd,True,True,,,485,475,2,7,0,77376,46676,246360,3108
account_policy_with_privacy_budget_64,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,64,,account_budget_b64,baseline,shared_witness,account_policy_with_privacy_budget_64.circom,groth16,2912ff92e3c22e1be82f4af64f0c8051baa5c85f3e660da2aa9e2099b727a982,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/account_policy_with_privacy_budget_64_2912ff92e3c2,False,False,0.08542982599988136,1.195437869999978,933,923,2,7,0,150848,48487,481624,3106
linked_account_budget_budget_32,linked_account_budget_component,pi_budget+tx_binding,account,composition_component,32,,account_budget_b32,commitment_linked,tx_tag,linked_account_budget_budget_32.circom,groth16,6d15936a896ec286caed3ecfc445f03ef2eb2646f922e26d9f28d9a7c0299802,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_account_budget_budget_32_6d15936a896e,True,True,,,1601,1606,3,8,0,262680,2798248,709174,3289
linked_account_budget_limit_32,linked_account_budget_component,pi_limit+tx_binding,account,composition_component,32,,account_budget_b32,commitment_linked,tx_tag,linked_account_budget_limit_32.circom,groth16,7d7401a809c21a45c58b5116907ca029a7b9cf98d9ac1f7a76f0c658951f6f3e,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_account_budget_limit_32_7d7401a809c2,True,True,,,1601,1606,3,8,0,262680,2798248,709173,3290
linked_account_budget_monolithic_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,32,,account_budget_b32,commitment_linked,tx_tag,linked_account_budget_monolithic_32.circom,groth16,f1370d72b08d249c556743d160d17be3613eebdcd29211f3d6edb28e58a42651,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_account_budget_monolithic_32_f1370d72b08d,True,True,,,1914,1905,3,8,0,312424,2804788,843490,3291
linked_account_budget_transition_32,linked_account_budget_component,pi_trans+tx_binding,account,composition_component,32,,account_budget_b32,commitment_linked,tx_tag,linked_account_budget_transition_32.circom,groth16,2fac100f2ffadd974dec9481577d4872c0b4c4a26ee24ea6c3c588df3271bb44,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_account_budget_transition_32_2fac100f2ffa,True,True,,,1598,1601,3,8,0,262208,2794678,707182,3291
linked_account_budget_validity_32,linked_account_budget_component,pi_valid+tx_binding,account,composition_component,32,,account_budget_b32,commitment_linked,tx_tag,linked_account_budget_validity_32.circom,groth16,b635e3836e0641fc2cbb24d2bc3b00d0bde7655a9802a1c7080703d7cb715ddd,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_account_budget_validity_32_b635e3836e06,True,True,,,1533,1540,3,8,0,251760,2797490,679432,3290
linked_token_bundle_budget_32_depth_16,linked_token_bundle_component,pi_budget+tx_binding,token,composition_component,32,16,token_bundle_b32_d16,commitment_linked,tx_tag,linked_token_bundle_budget_32_depth_16.circom,groth16,a3593f443ca7756636251ac7dba3b813d9b9f2e986fec9f833f132c748ba8bda,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_token_bundle_budget_32_depth_16_a3593f443ca7,True,True,,,1601,1606,5,6,0,262680,2798236,709269,3660
linked_token_bundle_membership_32_depth_16,linked_token_bundle_component,pi_mem+tx_binding,token,composition_component,32,16,token_bundle_b32_d16,commitment_linked,tx_tag,linked_token_bundle_membership_32_depth_16.circom,groth16,a8d654fe526a893e30f08cc40f2424ed20d6feae20df695521ccd1a9ddd3c7f1,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_token_bundle_membership_32_depth_16_a8d654fe526a,True,True,,,10354,10380,5,38,0,1431076,3583103,4784653,3658
linked_token_bundle_monolithic_32_depth_16,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition,32,16,token_bundle_b32_d16,commitment_linked,tx_tag,linked_token_bundle_monolithic_32_depth_16.circom,groth16,bf7ddf2ef2e61177c337bde48bd416d9da6f07992d8412a6bf0b11216826636e,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_token_bundle_monolithic_32_depth_16_bf7ddf2ef2e6,True,True,,,11114,11130,5,38,0,1538716,3599417,5076221,3659
linked_token_bundle_nullifier_32_depth_16,linked_token_bundle_component,pi_null+tx_binding,token,composition_component,32,16,token_bundle_b32_d16,commitment_linked,tx_tag,linked_token_bundle_nullifier_32_depth_16.circom,groth16,ecb138bb98281045fe3d6108a483b71b2f4189873ea0fda8d7445a9b1617b8cb,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_token_bundle_nullifier_32_depth_16_ecb138bb9828,True,True,,,1946,1956,5,6,0,304216,3120081,821140,3656
linked_token_bundle_validity_32_depth_16,linked_token_bundle_component,pi_valid+tx_binding,token,composition_component,32,16,token_bundle_b32_d16,commitment_linked,tx_tag,linked_token_bundle_validity_32_depth_16.circom,groth16,4b74348c920aedaf27a5054a674744fd400dd9cf4e29aa9e8053b49f9f83ded3,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_token_bundle_validity_32_depth_16_4b74348c920a,True,True,,,1533,1540,5,6,0,251760,2797478,679527,3651
linked_valid_limit_limit_32,linked_valid_limit_component,pi_limit+tx_binding,account,composition_component,32,,valid_limit_b32,commitment_linked,tx_tag,linked_valid_limit_limit_32.circom,groth16,82efc2616642e99a65c2743cd52d776aa375b2f57e792528a2385ee2744b48d4,/home/silvi/circom/Clone_Matteo_NEW/intsds-zkp-playground/build/groth16/linked_valid_limit_limit_32_82efc2616642,True,True,,,1139,1139,2,4,0,171644,2310597,549918,3107
