evaluation_run_id,timestamp_utc,phase,block,repetition,order_index,experiment_name,family,policy_set,architecture,role,bits,merkle_depth,composition_id,comparison_group,binding_mode,execution_mode,component_count,component_names,proving_system,constraints,witness_time_s,prove_time_s,verify_time_s,bundle_check_time_s,total_online_time_s,proof_size_bytes,public_size_bytes,proofs_ok,binding_ok,verification_ok,status,error
20260728T123050Z_paper_groth16,2026-07-28T12:36:12.529734+00:00,measured,1,1,1,linked_separate_token_bundle_32_depth_16,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition_baseline,32,16,token_bundle_b32_d16,commitment_linked,tx_tag,separate,4,linked_token_bundle_membership_32_depth_16;linked_token_bundle_nullifier_32_depth_16;linked_token_bundle_validity_32_depth_16;linked_token_bundle_budget_32_depth_16,groth16,15434,0.24696275799988143,1.607456010000078,1.1258919430001697,2.6449999950273195e-06,2.9803133560001243,3222,1368,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:14.949044+00:00,measured,1,1,2,separate_account_budget_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition_baseline,32,,account_budget_b32,baseline,unbound,separate,4,local_financial_validity_32;state_transition_and_conservation_32;operating_limit_32;privacy_budget_32,groth16,617,0.09084828599998218,1.2509355659999528,1.0754044239999985,0.0,2.4171882759999335,3221,38,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:15.568950+00:00,measured,1,1,3,privacy_budget_64,privacy_budget,pi_budget,account,individual_policy,64,,,,none,monolithic,1,privacy_budget_64,groth16,332,0.025141617999906885,0.30373553499998707,0.28999427700000524,0.0,0.6188714299998992,805,26,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:16.187640+00:00,measured,1,1,4,account_policy_core_32,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,32,,account_core_b32,baseline,shared_witness,monolithic,1,account_policy_core_32,groth16,346,0.02249953699993057,0.33212720599999557,0.26339106399996126,0.0,0.6180178069998874,804,16,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:18.539948+00:00,measured,1,1,5,separate_account_budget_64,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition_baseline,64,,account_budget_b64,baseline,unbound,separate,4,local_financial_validity_64;state_transition_and_conservation_64;operating_limit_64;privacy_budget_64,groth16,1193,0.08408772400002817,1.217788957999801,1.0480351589999373,0.0,2.3499118409997664,3218,58,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:19.602315+00:00,measured,1,1,6,token_policy_bundle_32_depth_32,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition,32,32,token_bundle_b32_d32,baseline,shared_witness,monolithic,1,token_policy_bundle_32_depth_32,groth16,18005,0.050364214999945034,0.7506367969999701,0.260641509999914,0.0,1.0616425219998291,809,261,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:20.258504+00:00,measured,1,1,7,linked_account_budget_monolithic_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,32,,account_budget_b32,commitment_linked,tx_tag,monolithic,1,linked_account_budget_monolithic_32,groth16,1914,0.06300597999984348,0.3324010040000758,0.2599299699998028,2.339000047868467e-06,0.6553392929997699,803,111,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:20.833953+00:00,measured,1,1,8,state_transition_and_conservation_16,state_transition_and_conservation,pi_trans,account,individual_policy,16,,,,none,monolithic,1,state_transition_and_conservation_16,groth16,89,0.019011876999911692,0.2896100870000282,0.26625787700004366,0.0,0.5748798409999836,806,3,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:21.450069+00:00,measured,1,1,9,operating_limit_64,operating_limit,pi_limit,account,individual_policy,64,,,,none,monolithic,1,operating_limit_64,groth16,332,0.021011959999896135,0.3099272770000425,0.2845587270001033,0.0,0.615497964000042,804,26,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:23.987950+00:00,measured,1,1,10,separate_token_bundle_32_depth_8,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition_baseline,32,8,token_bundle_b32_d8,baseline,unbound,separate,4,merkle_membership_depth_8;nullifier_correctness_poseidon;local_financial_validity_32;privacy_budget_32,groth16,4953,0.11454699999990225,1.3551776960002826,1.0654879210001127,0.0,2.5352126170002975,3220,267,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:24.601265+00:00,measured,1,1,11,account_policy_with_privacy_budget_16,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,16,,account_budget_b16,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_16,groth16,261,0.02072417499994117,0.3068209680000109,0.28509933300006196,0.0,0.612644476000014,804,21,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:25.225245+00:00,measured,1,1,12,local_validity_and_operating_limit_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition,32,,valid_limit_b32,baseline,shared_witness,monolithic,1,local_validity_and_operating_limit_32,groth16,243,0.022202527999979793,0.3300330160000158,0.2711062399998809,0.0,0.6233417839998765,807,16,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:27.938996+00:00,measured,1,1,13,linked_separate_account_budget_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition_baseline,32,,account_budget_b32,commitment_linked,tx_tag,separate,4,linked_account_budget_validity_32;linked_account_budget_transition_32;linked_account_budget_limit_32;linked_account_budget_budget_32,groth16,6333,0.2382658450001145,1.3752994009996655,1.0886369099998774,3.960999947594246e-06,2.702206116999605,3219,444,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:28.550172+00:00,measured,1,1,14,local_validity_and_operating_limit_64,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition,64,,valid_limit_b64,baseline,shared_witness,monolithic,1,local_validity_and_operating_limit_64,groth16,467,0.022742387000107556,0.3170788329998686,0.27066422999996576,0.0,0.6104854499999419,807,26,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:29.175722+00:00,measured,1,1,15,account_policy_with_privacy_budget_64,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,64,,account_budget_b64,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_64,groth16,933,0.025689646000046196,0.31725262400004794,0.28191187299989906,0.0,0.6248541429999932,802,50,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:29.893172+00:00,measured,1,1,16,linked_valid_limit_monolithic_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition,32,,valid_limit_b32,commitment_linked,tx_tag,monolithic,1,linked_valid_limit_monolithic_32,groth16,1210,0.04094381400000202,0.37753837400009616,0.29808382300006997,2.260999963255017e-06,0.7165682720001314,806,98,True,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:30.498979+00:00,measured,1,1,17,operating_limit_32,operating_limit,pi_limit,account,individual_policy,32,,,,none,monolithic,1,operating_limit_32,groth16,172,0.022508561999984522,0.3045762389999709,0.2777457270001378,0.0,0.6048305280000932,803,16,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:31.765092+00:00,measured,1,1,18,separate_valid_limit_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,32,,valid_limit_b32,baseline,unbound,separate,2,local_financial_validity_32;operating_limit_32,groth16,276,0.04959024499999032,0.6380529329999263,0.577293219000012,0.0,1.2649363969999285,1612,19,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:32.562754+00:00,measured,1,1,19,merkle_membership_depth_8,merkle_membership,pi_mem,token,individual_policy,,8,,,none,monolithic,1,merkle_membership_depth_8,groth16,4160,0.03934531999993851,0.4629683109999405,0.2946716619999279,0.0,0.7969852929998069,803,84,True,,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:33.264380+00:00,measured,1,1,20,nullifier_correctness_poseidon,nullifier_correctness,pi_null,token,individual_policy,,,,,none,monolithic,1,nullifier_correctness_poseidon,groth16,517,0.03524651799989442,0.34729649499990956,0.3183220870000696,0.0,0.7008650999998736,807,164,True,,True,ok,
